Date,Weekly_Sales,Temperature,Fuel_Price,MarkDown1,MarkDown2,MarkDown3,MarkDown4,MarkDown5,CPI,Unemployment,IsHoliday
12/3/2010,54268.03,49.27,2.708,,,,,,211.607193,7.838,FALSE
12/10/2010,44605.69,46.33,2.843,,,,,,211.4659526,7.838,FALSE
12/17/2010,67832.13,49.84,2.869,,,,,,211.4053124,7.838,FALSE
12/24/2010,121470.12,52.33,2.886,,,,,,211.4051222,7.838,FALSE
12/31/2010,47448.91,48.43,2.943,,,,,,211.4049321,7.838,TRUE
1/7/2011,42581.15,48.27,2.976,,,,,,211.4047419,7.742,FALSE
1/14/2011,35873.69,35.4,2.983,,,,,,211.4574109,7.742,FALSE
1/21/2011,41051.86,44.04,3.016,,,,,,211.8272343,7.742,FALSE
1/28/2011,39918.87,43.83,3.01,,,,,,212.1970577,7.742,FALSE
2/4/2011,62891.35,42.27,2.989,,,,,,212.5668812,7.742,FALSE
2/11/2011,71013.56,36.39,3.022,,,,,,212.9367046,7.742,TRUE
2/18/2011,67900.9,57.36,3.045,,,,,,213.2478853,7.742,FALSE
2/25/2011,50577.46,62.9,3.065,,,,,,213.535609,7.742,FALSE
3/4/2011,54450.94,59.58,3.288,,,,,,213.8233327,7.742,FALSE
3/11/2011,43535.72,53.56,3.459,,,,,,214.1110564,7.742,FALSE
3/18/2011,43128.73,62.76,3.488,,,,,,214.3627114,7.742,FALSE
3/25/2011,42627.73,69.97,3.473,,,,,,214.5999389,7.742,FALSE
4/1/2011,36258.07,59.17,3.524,,,,,,214.8371664,7.682,FALSE
4/8/2011,36512.94,67.84,3.622,,,,,,215.0743939,7.682,FALSE
4/15/2011,39638.92,71.27,3.743,,,,,,215.2918561,7.682,FALSE
4/22/2011,41104.42,72.99,3.807,,,,,,215.4599053,7.682,FALSE
4/29/2011,33941.57,72.03,3.81,,,,,,215.6279544,7.682,FALSE
5/6/2011,43167.81,64.61,3.906,,,,,,215.7960035,7.682,FALSE
5/13/2011,41898.67,75.64,3.899,,,,,,215.9640526,7.682,FALSE
5/20/2011,32615.01,67.63,3.907,,,,,,215.7339202,7.682,FALSE
5/27/2011,34073.97,77.72,3.786,,,,,,215.5037878,7.682,FALSE
6/3/2011,34638.69,83,3.699,,,,,,215.2736553,7.682,FALSE
6/10/2011,30561.01,83.13,3.648,,,,,,215.0435229,7.682,FALSE
6/17/2011,36041.85,86.41,3.637,,,,,,214.9980596,7.682,FALSE
6/24/2011,36991.99,83.58,3.594,,,,,,215.0910982,7.682,FALSE
7/1/2011,37493.58,85.55,3.524,,,,,,215.1841368,7.962,FALSE
7/8/2011,32577.03,85.83,3.48,,,,,,215.2771754,7.962,FALSE
7/15/2011,37570.26,88.54,3.575,,,,,,215.3611087,7.962,FALSE
7/22/2011,35464.49,85.77,3.651,,,,,,215.4222784,7.962,FALSE
7/29/2011,36132.57,86.83,3.682,,,,,,215.4834482,7.962,FALSE
8/5/2011,41315.33,91.65,3.684,,,,,,215.544618,7.962,FALSE
8/12/2011,39234.13,90.76,3.638,,,,,,215.6057878,7.962,FALSE
8/19/2011,42481.55,89.94,3.554,,,,,,215.6693107,7.962,FALSE
8/26/2011,49944.34,87.96,3.523,,,,,,215.7332258,7.962,FALSE
9/2/2011,47054.71,87.83,3.533,,,,,,215.7971409,7.962,FALSE
9/9/2011,38861.38,76,3.546,,,,,,215.861056,7.962,TRUE
9/16/2011,44656.76,79.94,3.526,,,,,,216.0410526,7.962,FALSE
9/23/2011,33809.02,75.8,3.467,,,,,,216.3758246,7.962,FALSE
9/30/2011,39319.17,79.69,3.355,,,,,,216.7105965,7.962,FALSE
10/7/2011,38528.36,69.31,3.285,,,,,,217.0453684,7.866,FALSE
10/14/2011,44370.76,71.74,3.274,,,,,,217.3552733,7.866,FALSE
10/21/2011,56909.42,63.71,3.353,,,,,,217.5159762,7.866,FALSE
10/28/2011,47743.78,66.57,3.372,,,,,,217.6766791,7.866,FALSE
11/4/2011,63620.54,54.98,3.332,,,,,,217.837382,7.866,FALSE
11/11/2011,42060.48,59.11,3.297,10382.9,6115.67,215.07,2406.62,6551.42,217.9980849,7.866,FALSE
11/18/2011,43050.78,62.25,3.308,6074.12,254.39,51.98,427.39,5988.57,218.2205088,7.866,FALSE
11/25/2011,203670.47,60.14,3.236,410.31,98,55805.51,8,554.92,218.4676211,7.866,TRUE
12/2/2011,55188.08,48.91,3.172,5629.51,68,1398.11,2084.64,20475.32,218.7147333,7.866,FALSE
12/9/2011,60494.84,43.93,3.158,4640.65,19,105.02,3639.42,14461.82,218.9618456,7.866,FALSE
12/16/2011,62424.9,51.63,3.159,5011.32,67,347.37,225.79,4011.37,219.1794533,7.866,FALSE
12/23/2011,94243.47,47.96,3.112,2725.36,40.48,634.7,24.9,2739.43,219.3577216,7.866,FALSE
12/30/2011,59732.61,44.55,3.129,5762.1,46011.38,260.36,983.65,4735.78,219.5359898,7.866,TRUE
1/6/2012,39235.39,49.01,3.157,6277.39,21813.16,143.1,1450.13,8483,219.7142581,7.348,FALSE
1/13/2012,37248.54,48.53,3.261,5183.29,8025.87,42.24,453.08,3719.38,219.8925263,7.348,FALSE
1/20/2012,37526.8,54.11,3.268,4139.87,2807.19,33.88,500.62,3400.21,219.9856893,7.348,FALSE
1/27/2012,43660.6,54.26,3.29,1164.46,1082.74,44,11,1222.19,220.0788523,7.348,FALSE
2/3/2012,62524.58,56.55,3.36,34577.06,3579.21,160.53,32403.87,5630.4,220.1720153,7.348,FALSE
2/10/2012,98104.8,48.02,3.409,13925.06,6927.23,101.64,8471.88,6886.04,220.2651783,7.348,TRUE
2/17/2012,81287.05,45.32,3.51,9873.33,11062.27,9.8,8409.31,3402.66,220.4257586,7.348,FALSE
2/24/2012,57718.19,57.25,3.555,9349.61,7556.01,3.2,1219.92,8143.59,220.636902,7.348,FALSE
3/2/2012,57117.62,60.96,3.63,15441.4,1569,10.8,25390.88,8067.61,220.8480454,7.348,FALSE
3/9/2012,48275.27,58.76,3.669,10331.04,151.88,6,671.43,5509.84,221.0591887,7.348,FALSE
3/16/2012,57135.91,64.74,3.734,4298.16,7.5,2.02,2724.65,2017.69,221.2118132,7.348,FALSE
3/23/2012,44132.05,65.93,3.787,6118.56,9.48,4.97,426.72,3657.22,221.2864126,7.348,FALSE
3/30/2012,45350.26,67.61,3.845,10309.58,0.5,10.25,1654.17,2642.78,221.3610119,7.348,FALSE
4/6/2012,40174.72,70.43,3.891,10121.97,,77.98,3750.59,4510.72,221.4356112,7.143,FALSE
4/13/2012,40241.21,69.07,3.891,6186.19,3288.69,17.07,1822.55,1063.78,221.5102105,7.143,FALSE
4/20/2012,43176.95,66.76,3.877,2230.8,612.02,19.75,275.13,5747.1,221.5640737,7.143,FALSE
4/27/2012,33229.49,67.23,3.814,3221.25,,35.49,577.14,6222.25,221.6179368,7.143,FALSE
5/4/2012,36683.63,75.55,3.749,21290.13,,69.89,4977.35,3261.04,221.6718,7.143,FALSE
5/11/2012,39483.03,73.77,3.688,8351.4,,10.52,2443.14,3127.88,221.7256632,7.143,FALSE
5/18/2012,35718.85,70.33,3.63,6154.14,,45.11,1675.49,5508.18,221.742674,7.143,FALSE
5/25/2012,39801.69,77.22,3.561,4039.39,,745.19,1429.96,3631.13,221.744944,7.143,FALSE
6/1/2012,39791.94,77.95,3.501,6086.21,12,370.51,148.75,3690.85,221.7472139,7.143,FALSE
6/8/2012,42900.32,78.3,3.452,8813.81,116.8,64.55,2652.04,7161.91,221.7494839,7.143,FALSE
6/15/2012,44313.56,79.35,3.393,5621.99,109.6,0.25,2420.28,3083.26,221.7626421,7.143,FALSE
6/22/2012,43726.7,78.39,3.346,8624.56,171.25,3.05,2524.07,7063.68,221.8030211,7.143,FALSE
6/29/2012,37125.37,84.88,3.286,3965.73,161.6,,435.99,4212.97,221.8434,7.143,FALSE
7/6/2012,38528.4,81.57,3.227,12218.76,94.4,192.83,4066.01,6149.04,221.8837789,6.908,FALSE
7/13/2012,44166.9,77.12,3.256,7218.13,45.2,36.24,3909.38,2596.37,221.9241579,6.908,FALSE
7/20/2012,32363.17,80.42,3.311,3213,313.72,9.53,2262.02,3228.19,221.9327267,6.908,FALSE
7/27/2012,34394.82,82.66,3.407,7146.9,389.02,1.59,10267.54,4325.19,221.9412954,6.908,FALSE
8/3/2012,40143.72,86.11,3.417,27584.78,119.98,30.23,12007.04,4661.71,221.9498642,6.908,FALSE
8/10/2012,40663.95,85.05,3.494,11436.22,245,6.85,6964.26,4836.22,221.9584329,6.908,FALSE
8/17/2012,40176.27,84.85,3.571,3662.06,137.86,4.84,2752.2,3446.15,222.0384109,6.908,FALSE
8/24/2012,39729.78,77.66,3.62,6237.83,260.06,2.97,3463.03,7988.25,222.1719457,6.908,FALSE
8/31/2012,39515.27,80.49,3.638,21442.73,102.32,21.7,13209.64,3032.96,222.3054805,6.908,FALSE
9/7/2012,40231.04,83.96,3.73,5204.68,35.74,50.94,4120.32,2737.17,222.4390153,6.908,TRUE
9/14/2012,40346.48,74.97,3.717,17212.52,7,18.79,1523.11,7992.72,222.5820193,6.908,FALSE
9/21/2012,61883.75,69.87,3.721,6352.3,7.64,4.69,1010.06,6456.71,222.7818386,6.908,FALSE
9/28/2012,50209.37,76.08,3.666,3666.27,7.64,1.65,1417.96,4744.28,222.9816579,6.908,FALSE
10/5/2012,54480.13,68.55,3.617,8077.89,,18.22,3617.43,3626.14,223.1814772,6.573,FALSE
10/12/2012,42221.07,62.99,3.601,2086.18,,8.11,602.36,5926.45,223.3812965,6.573,FALSE
10/19/2012,36267.08,67.97,3.594,950.33,,4.93,80.25,2312.85,223.4257233,6.573,FALSE
10/26/2012,35282.73,69.16,3.506,2585.85,31.75,6,1057.16,1305.01,223.4442513,6.573,FALSE
